# id,name,type,intro,x,y
1,北西门,校门,校园西北侧出入口，秀厢南门,1243.28,835.249
2,秀苑北门,校门,校园正北方向出入口,2850.34,778.163
3,东高门,校门,校园东北侧东侧出入口,3905.66,1642.17
4,东门,校门,校园东侧主大门,4775.37,3181.54
5,南侧门,校门,校园南门旁侧出入口,1333.26,5858.06
6,中南门,校门,东西校园中间连通出入口,2360.09,3611.83
7,南门,校门,校园正南主出入口,1987.15,6030.73
8,西门,校门,校园西侧主大门,850.441,3721.94
9,北苑餐厅,餐饮食堂,北校园生活区就餐点,1980,1141.49
11,碧湖苑,餐饮食堂,东校园碧湖周边生活区食堂,3851.52,3232.74
12,东苑餐厅,餐饮食堂,东校园东部宿舍配套食堂,4112.87,3811.19
13,秀苑餐厅,餐饮食堂,新东园秀苑宿舍配套食堂,4153.17,4274.69
14,萃苑餐厅,餐饮食堂,南部萃苑宿舍区餐饮点,1517.14,4471.93
15,南苑第二餐厅,餐饮食堂,校园最南侧宿舍配套食堂,3129.93,4897.59
16,语言中心,公共教学楼,语言教学、外语实训教室楼宇,2163.58,5283.54
17,二教,公共教学楼,通识课程基础教学大楼,2639.03,4874.36
18,三教,公共教学楼,公共课、选修课教学场地,2637.34,4785.65
19,六教,公共教学楼,多学科公共授课教学楼,3318.15,3600.89
20,十教,公共教学楼,综合公共教学大楼,3090.3,3638.65
21,十一教,公共教学楼,全天候自习+公共教学楼宇,3698.29,3732.97
24,研究生院,公共教学楼,研究生授课、科研办公综合楼宇,3970.7,4383.06
25,外国语学院,学院专业楼,外语专业教学、实验室、办公主楼,1821.71,5033.48
26,艺术学院,学院专业楼,美术、音乐、设计专业教学实训楼,3601.05,3580.66
27,林学院,学院专业楼,林业、生态相关专业教学科研楼宇,3068.45,3510.09
28,农学院,学院专业楼,农学、种植养殖专业教学实验楼,3361.67,3988.48
29,土木建筑工程学院,学院专业楼,土木工程、建筑专业实训办公楼,1603.55,4963.54
30,机械工程学院,学院专业楼,机械制造、机电实训专业楼宇,2232.58,5520.07
31,电气工程学院,学院专业楼,电气工程、自动化专业教学大楼,2019.93,5034.11
32,数学与信息科学学院,学院专业楼,数学、信息计算专业教研楼,2230.11,5169.61
33,文学院,学院专业楼,中文、汉语言文学专业办公教学楼,2615.62,4999.27
34,法学院,学院专业楼,法学专业教室、模拟法庭楼宇,2490.09,4999.46
35,计算机与电子信息学院,学院专业楼,计算机、通信电子专业实验大楼,2229.17,5005.3
36,新闻与传播学院,学院专业楼,播音、新媒体、新闻采编实训楼,2558.7,4716.33
37,资源环境与材料学院,学院专业楼,环境、材料、资源科学教研楼,1552.89,5201.97
38,物理科学与工程技术学院,学院专业楼,物理实验、理论教学专业楼宇,1274.7,5136.37
39,分析测试中心,其他,全校大型仪器检测、科研分析平台,2215.14,4719.92
40,信息网络中心,其他,校园网络运维基地,2222.77,4857.11
41,汇学堂,活动场地,综合学科研讨、小型学术报告厅楼宇,2354.19,4426.01
42,大礼堂,活动场地,大型学术会议、文艺汇演专业场地,1926.77,4694.34
44,西大附中,其他,附属中学教学办公场地,2239.97,3453.41
45,西大附属学校,学院专业楼,九年制附属义务教育学校校区,1671.85,3238.7
46,北田径场,体育场地,校园北侧标准足球场+塑胶跑道,2202.95,677.622
47,西田径场,体育场地,西校园足球、田径比赛训练场地,2093.11,4148.92
48,东田径场,体育场地,东校园东侧大型田径足球赛场,4272.18,3210.15
49,东体育馆,体育场地,东校园室内球类、体质测试场馆,4195.15,2805.31
51,综合体育馆,体育场地,西校园恒温泳池、大型赛事室内主场馆,2626.05,4137.63
53,东篮球场,体育场地,东校园露天篮球运动片区,4063.05,3222.37
54,篮球场,体育场地,西校园露天篮球运动片区,1874.41,4138.5
55,东排球场,体育场地,东校园露天排球场地,3978.1,2870.65
56,羽毛球场,体育场地,户外简易羽毛球运动场地,2247.36,1134.74
58,秀苑宿舍群,宿舍,新东园学生公寓楼栋集群,4035.68,4094.94
59,东苑宿舍群,宿舍,东校园东部连片学生公寓,4259,3427.9
61,西校园1-28栋宿舍,宿舍,西校园老牌连片学生公寓区,2591.91,5131.75
63,博萃餐厅,餐饮食堂,南部博萃宿舍区餐饮点,1516.21,4523.67
64,荟萃楼,餐饮食堂,后勤人员、短期研修人员住宿楼，楼上有自助餐厅,2590.09,4516.72
65,图书馆,图书馆,全校文献藏书、阅览、自习核心场馆,3119.59,4325.89
66,校医院,诊所,校内师生诊疗、急诊、疫苗接种医疗点,3592.8,3824.15
69,碧湖,景点,东校园中心核心景观内湖,3742.94,3395.02
71,中心大草坪,景点,校园中部绿化休闲草坪场地,2559.55,4278.61
72,马君武雕像园,景点,校史名人纪念景观园区,1976.4,5355.87
73,育才广场,活动场地,校园文化集会、文艺露天活动广场,1930.74,5676.3
74,大学生活动中心,活动场地,社团办公、晚会、才艺排练综合场地,3373.53,3214.13
75,网球场,体育场地,,2196.75,765.009
76,篮球场,体育场地,,1900.26,757.068
77,北体育馆,体育场地,,1724.81,654.327
78,北图书馆,图书馆,,2466.67,750.555
79,生命科学与技术学院,学院专业楼,,2781.23,3645.56
80,老水塔餐厅,餐饮食堂,,3250,3173.15
81,东27,宿舍,,3068.51,1350.8
82,东27供餐点,餐饮食堂,,3184.6,1350.8
